Acronym,Definition,Meaning,Department,Team/Area
ASK,Apprenticeship support and knowledge for schools,"The apprenticeship support and knowledge for schools (ASK) project will deliver apprenticeship and traineeship information to young people in years 10, 11, 12 and 13. This will ensure young people are aware of all the options available to them. The project will work with teachers, careers advisers, parents and governors, alongside other key partners, to support schools and ensure that they meet their statutory duties regarding the provision of impartial Information Advice and Guidance (IAG), specifically in relation to apprenticeships and traineeships.",DfE,
ASL,Adult Safeguarded Learning,,DfE,
ASP,Analyse School Performance service,Replaced RAISEonline on 19 July 2017,DfE,
ASPIRE,Assess – Sentence Plan – Implement – Review – Evaluate,This is the core framework of offender management / sentence planning,,
ASR,Approved Supplier Register,,DfE,
Asset,Youth Justice Board assessment documentation for young people,,,
AST (departmental organisational unit),Audit Support Team,Year(s) active (where known): 2013,DfE,
AST (service),Area Service Teams,,DfE,
AST (teachers),Advanced skills teachers,"A teacher who has passed a national assessment and been appointed to an AST post. The AST grade is designed to strengthen teaching and learning through better leadership, better rewards, better training and better support. ",DfE,
ASTO,Adult Skills Training Organisations,,DfE,
ASTV,Apprenticeship Service Television,,DfE,
ASYE,Assessed and supported year in employment,"The assessed and supported year in employment (ASYE) is a programme that gives newly qualified social workers extra support during their first year of employment. The programme aims to help them develop their skills, knowledge and professional confidence. Source: {GOV.UK|https://www.gov.uk/government/publications/assessed-and-supported-year-in-employment-asye/assessed-and-supported-year-in-employment} accessed 2016-02-12",DfE,
AT,Assisted Technology,,,
AT (academies),Academy trusts,"Academies are publicly funded independent schools that don't have to follow the national curriculum and can set their own term times. They still have to follow the same rules on admissions, special educational needs and exclusions as other state schools. Academies get money direct from the government, not the local council. They're run by an academy trust which employs the staff. Some academies have sponsors such as businesses, universities, other schools, faith groups or voluntary groups. Sponsors are responsible for improving the performance of their schools.Source: {GOV.UK|https://www.gov.uk/types-of-school/academies} accessed 2015-06-02",DfE,
AT (attainment),Attainment targets,"An attainment target identifies the 'knowledge, skills and understanding which pupils of different abilities and maturities are expected to have by the end of each key stage'.",DfE,
AT (teacher),Advisory Teacher,Source: The Knowledge accessed 2019-06-04,DfE,
AT (trainee),Administrative Trainee,Source: The Knowledge accessed 2019-06-04,DfE,
ATA,Apprenticeship Training Agencies,,DfE,
ATAS,Audit Trails Analysis System,,DWP,
ATIA,"Architecture, Technology and Information Assurance",A former unit inside MOJ ICT,,
ATL,Association of Teachers and Lecturers,Association of Teachers and Lecturers was dissolved following a merger with the National Union of Teachers to form a new union known as the National Education Union which was founded on 01 September 2017. 2020-06-29,DfE,
ATM,Association of Teachers of Mathematics,The Association of Teachers of Mathematics (ATM) is an organisation that encourages the development of mathematics education around the needs of the learner. It regularly responds to Government consultations and initiatives. Links/Further InformationSource: {ATM website|http://www.atm.org.uk/} accessed 2021-03-01Source: The Knowledge accessed 2019-06-03,DfE,
ATM,At The Moment,,Not Limited to CS,
ATMP,Advanced Therapy Medicinal Products,,BEIS,UK Vaccines Taskforce
ATO (operate),Authority to Operate,,DfE,
ATO (training),Approved Training Organisation,Source: The Knowledge accessed 2019-06-03,DfE,
ATOS,Occupational Services,External provider of services to DWP - such as disability assessments,DWP,
ATP,Authority to Pay,,DWP,
ATR (recruitment),Authority to Recruit,,DfE,
ATR (register),Approved Technology Register,,DfE,
ATSTN,Advanced Therapies Skills Training Network,Project to introduce online training capability and a national network of training centres to provide ATMP training - previously known as CATTS,BEIS,UK Vaccines Taskforce
ATW,Access To Work,,DWP,
AU,Combined Payment,,DWP,
AUA,Association of University Administrators,"The Association of University Administrators (AUA) is an inclusive membership-led professional body for all those interested in advancing their career in higher education. There are over 4,000 AUA members nationally and internationally based in universities and higher education colleges as well as HE related bodies such as Universities UK and the funding councils. There are also growing numbers of members in further education institutions.",DfE,
AV (apprenticeships),Apprenticeship Vacancies,,DfE,
AVA,Audio Visual Aids,Source: The Knowledge accessed 2019-05-31,DfE,
AVCE,Advanced Vocational Certificate of Education,"Advanced Vocational Certificate of Education (AVCEs) are courses designed to develop the knowledge and skills needed for jobs in a broad field of work - such as hospitality and catering, leisure and tourism, or engineering. They can be taken in many schools and most colleges. Source: The Knowledge accessed 2019-06-03",DfE,
AWDL,Average Working Days Lost,A measure of working days lost to sick or other short notice absence per full-time equivalent employee,Civil Service Wide,HR
AWPU,Age-Weighted Pupil Unit,Source: The Knowledge accessed 2019-05-31,DfE,
AWR,Additional Works Request,Additional Works Request,MoJ,Government Workforce Planning
AWS,Amazon Web Services,,,
AY,Academic year,"Broadly September to August, although varies by institution, e.g. Scottish schools start in mid-August.",DfE,
AYPP,Activities for Young People Programme,"The Activities for Young People Programme for 16-year-olds, also known as the u-project, was aimed at young people in England who were coming to the end of compulsory education (at the end of school year 11), with no real idea of what they wanted to do next.",DfE,
AZ,AstraZeneca,,BEIS,UK Vaccines Taskforce
BA,Business Analyst,https://www.gov.uk/guidance/business-analyst--2,Civil Service Wide,Digital
BA,Bereavement Allowance,,DWP,
BA,Benefits Agency,,DWP,
BAAF,British Association of Adoption and Fostering,Source: The Knowledge accessed 2019-04-12,DfE,
BAC,British Accreditation Council,"BAC was established in 1984 to provide a comprehensive quality assurance scheme for independent further and higher education in the UK. Our accreditation is recognised the world over by students, agents and government officials as the clearest mark of educational quality in the private sector. Alongside the British Council, whose Accreditation UK scheme serves as the definitive guide to the country's English language centres, we have overseen the inspection of private post-16 education for over 30 years.Source: {BAC website|https://www.the-bac.org/about/} accessed 2019-08-16",DfE,
BACS,Bankers Automated Clearing System,,Not Limited to CS,
BAECE,British Association for Early Childhood Education,"Early Education (British Association for Early Childhood Education) are a national charity supporting early years practitioners with training, resources and professional networks, and campaigning for quality education for the youngest children. They offer support to all early childhood education practitioners, including those in maintained settings, private, voluntary and independent provider and home-based childcare, as well as local authority staff through: publications training and consultancy national events and conferences local branch meetings. Source: {Early Education|https://www.early-education.org.uk/about-us} accessed 2019-08-16",DfE,
BAFO,Best And Final Offer,,,
BALID,British Association for Literacy in Development,Source: The Knowledge accessed 2019-04-12,DfE,
BAME,"Black, Asian and minority ethnic",,Civil Service Wide,"Equality, Diversity & Inclusion"
BARDA,Biomedical Advanced Research and Development Authority,A US office part of the Department for Health and Human Services,BEIS,UK Vaccines Taskforce
BASIL,Basic Skills for Inclusive Learning,Source: The Knowledge accessed 2019-04-12,DfE,
BAU,Business as Usual,,Not Limited to CS,
BB,Bereavement Benefit,,DWP,
BBB,BRITISH BUSINESS BANK,,DIT,
BBR,Building Better Relationships,An intervention programme for adult male offenders who have been violent in heterosexual relationships,MoJ,
BBSRC,Biotechnology and Biological Sciences Research Council,BBSRC is one of seven Research Councils that work together as Research Councils UK (RCUK).Source: {BBSRC|http://www.bbsrc.ac.uk/about/} accessed 2016-07-20,DfE,
